Date,Activity_Type,Distance_km,Duration_sec,Elevation_m,Avg_HR,Max_HR
2026-01-01,Nordic Ski,11.96,4246,221,139,178
2026-01-02,Nordic Ski,24.86,8599,67,149,171
2026-01-03,Roller Ski,16.99,6551,209,136,167
2026-01-04,Nordic Ski,6.79,2301,434,144,185
2026-01-05,Roller Ski,10.83,3872,166,135,183
2026-01-06,Nordic Ski,27.9,10843,135,141,172
2026-01-07,Run,15.56,4852,160,141,177
2026-01-08,Roller Ski,6.71,2451,410,145,171
2026-01-09,Run,22.44,8368,465,151,170
2026-01-10,Nordic Ski,17.37,4873,166,153,182
2026-01-11,Run,19.15,6274,242,130,185
2026-01-12,Run,11.76,3775,453,148,170
2026-01-13,Run,6.87,2125,140,138,169
2026-01-14,Roller Ski,9.24,3356,123,132,184
2026-01-15,Nordic Ski,29.33,8002,386,133,185
2026-01-16,Roller Ski,5.22,1838,475,134,188
2026-01-17,Nordic Ski,19.22,6515,393,140,166
2026-01-18,Roller Ski,13.99,4422,292,137,174
2026-01-19,Nordic Ski,5.95,1519,397,130,174
2026-01-20,Roller Ski,14.62,5698,255,130,172
2026-01-21,Roller Ski,11.7,3513,219,133,177
2026-01-22,Roller Ski,15.53,5519,441,156,190
2026-01-23,Run,14.48,5587,377,136,177
2026-01-24,Nordic Ski,12.51,3943,62,157,172
2026-01-25,Run,22.69,8492,313,149,184
2026-01-26,Run,28.71,9499,466,154,171
2026-01-27,Run,10.72,2936,71,156,177
2026-01-28,Nordic Ski,18.9,4947,417,152,181
2026-01-29,Nordic Ski,14.38,4455,262,151,181
2026-01-30,Roller Ski,18.83,4731,490,157,165
