Date,Activity_Type,Distance_km,Duration_sec,Elevation_m,Avg_HR,Max_HR
2026-10-01,Roller Ski,21.14,6168,64,155,188
2026-10-02,Nordic Ski,18.37,6767,439,151,176
2026-10-03,Run,6.18,2213,458,154,187
2026-10-04,Run,24.11,7141,59,148,167
2026-10-05,Nordic Ski,8.01,2570,117,141,184
2026-10-06,Roller Ski,5.33,1449,214,137,171
2026-10-07,Nordic Ski,12.73,3796,167,144,170
2026-10-08,Nordic Ski,16.13,5689,247,137,166
2026-10-09,Roller Ski,24.96,6914,346,138,185
2026-10-10,Run,29.31,9219,70,130,180
2026-10-11,Roller Ski,29.24,8493,383,152,178
2026-10-12,Nordic Ski,22.09,6142,270,152,178
2026-10-13,Roller Ski,7.33,2510,111,144,189
2026-10-14,Roller Ski,24.0,6567,99,131,187
2026-10-15,Nordic Ski,28.81,7712,303,141,189
2026-10-16,Run,18.25,5440,225,152,190
2026-10-17,Roller Ski,19.97,6805,105,144,177
2026-10-18,Nordic Ski,23.41,8550,254,130,186
2026-10-19,Roller Ski,17.19,4302,166,158,165
2026-10-20,Nordic Ski,10.05,3595,471,142,185
2026-10-21,Nordic Ski,22.47,6345,136,147,169
2026-10-22,Roller Ski,21.47,6874,353,134,171
2026-10-23,Run,20.46,7579,295,146,165
2026-10-24,Roller Ski,22.6,6246,458,155,184
2026-10-25,Nordic Ski,11.56,4444,157,149,169
2026-10-26,Run,21.93,6944,174,156,166
2026-10-27,Roller Ski,29.54,8766,431,130,180
2026-10-28,Run,7.93,2377,256,149,180
2026-10-29,Run,14.96,3978,351,131,188
2026-10-30,Roller Ski,22.83,7292,146,146,187
