Date,Activity_Type,Distance_km,Duration_sec,Elevation_m,Avg_HR,Max_HR
2026-02-01,Roller Ski,14.5,3944,102,138,186
2026-02-02,Roller Ski,17.49,4987,69,130,184
2026-02-03,Run,22.2,6104,418,140,187
2026-02-04,Roller Ski,10.95,3385,84,148,189
2026-02-05,Roller Ski,26.35,7727,82,144,180
2026-02-06,Run,11.66,3261,343,140,172
2026-02-07,Roller Ski,8.16,3031,348,136,176
2026-02-08,Nordic Ski,6.63,2534,363,152,169
2026-02-09,Nordic Ski,6.83,2210,274,139,174
2026-02-10,Nordic Ski,18.92,7425,364,141,184
2026-02-11,Roller Ski,15.84,6301,65,130,179
2026-02-12,Roller Ski,13.81,4605,484,137,169
2026-02-13,Nordic Ski,10.13,3086,420,153,178
2026-02-14,Nordic Ski,22.54,8749,105,156,177
2026-02-15,Roller Ski,14.55,4749,50,147,170
2026-02-16,Run,18.79,7338,478,133,173
2026-02-17,Nordic Ski,15.67,6195,235,159,179
2026-02-18,Run,20.14,7691,424,160,184
2026-02-19,Run,18.17,4694,212,130,179
2026-02-20,Run,14.89,4054,168,158,176
2026-02-21,Nordic Ski,19.65,5964,91,133,173
2026-02-22,Nordic Ski,7.06,2061,349,148,179
2026-02-23,Roller Ski,6.92,2223,213,159,179
2026-02-24,Run,20.02,5571,370,153,183
2026-02-25,Run,6.73,2568,473,143,182
2026-02-26,Roller Ski,26.96,9778,57,151,175
2026-02-27,Roller Ski,23.66,8824,479,149,180
2026-02-28,Nordic Ski,21.62,7568,433,142,172
2026-02-29,Roller Ski,25.94,7640,374,152,169
2026-02-30,Roller Ski,19.59,6531,410,155,174
