Date,Activity_Type,Distance_km,Duration_sec,Elevation_m,Avg_HR,Max_HR
2026-08-01,Nordic Ski,21.28,5684,142,142,172
2026-08-02,Nordic Ski,10.65,3288,309,153,171
2026-08-03,Roller Ski,12.11,4146,276,132,165
2026-08-04,Roller Ski,17.62,4499,491,138,190
2026-08-05,Run,26.04,7148,453,143,171
2026-08-06,Nordic Ski,19.62,7009,291,147,186
2026-08-07,Nordic Ski,16.29,4424,341,147,183
2026-08-08,Run,10.35,3695,83,136,165
2026-08-09,Roller Ski,10.43,3334,66,147,188
2026-08-10,Run,27.12,9229,348,147,186
2026-08-11,Roller Ski,15.94,4441,390,141,176
2026-08-12,Run,18.42,4784,374,149,186
2026-08-13,Run,24.43,7463,350,133,176
2026-08-14,Nordic Ski,26.56,9935,377,160,165
2026-08-15,Nordic Ski,27.31,7150,217,150,184
2026-08-16,Roller Ski,13.65,5079,148,143,185
2026-08-17,Nordic Ski,6.82,2272,83,157,169
2026-08-18,Roller Ski,15.88,4078,139,136,165
2026-08-19,Nordic Ski,8.39,2859,138,145,175
2026-08-20,Roller Ski,9.72,3463,365,145,165
2026-08-21,Roller Ski,23.18,8117,330,157,178
2026-08-22,Run,13.33,3559,416,146,184
2026-08-23,Run,14.78,5632,130,137,188
2026-08-24,Roller Ski,29.75,10981,267,143,185
2026-08-25,Nordic Ski,16.45,6444,155,148,170
2026-08-26,Run,6.07,1538,129,156,171
2026-08-27,Nordic Ski,23.36,6721,176,157,185
2026-08-28,Roller Ski,29.2,8337,493,147,167
2026-08-29,Nordic Ski,11.21,4379,110,150,168
2026-08-30,Run,5.12,1720,252,158,166
