Date,Activity_Type,Distance_km,Duration_sec,Elevation_m,Avg_HR,Max_HR
2026-06-01,Run,16.11,4763,271,134,182
2026-06-02,Roller Ski,7.0,2605,230,131,165
2026-06-03,Run,7.94,2967,181,137,188
2026-06-04,Roller Ski,15.07,3873,366,150,165
2026-06-05,Run,5.68,2270,364,140,190
2026-06-06,Nordic Ski,10.08,3335,264,150,167
2026-06-07,Run,10.24,3511,69,144,182
2026-06-08,Roller Ski,7.48,2705,482,140,180
2026-06-09,Roller Ski,20.45,6558,316,160,168
2026-06-10,Roller Ski,14.86,3993,201,148,169
2026-06-11,Nordic Ski,12.52,3558,389,141,178
2026-06-12,Roller Ski,8.62,2322,178,147,176
2026-06-13,Roller Ski,23.67,9466,316,146,165
2026-06-14,Nordic Ski,25.39,8096,317,130,179
2026-06-15,Nordic Ski,25.85,9947,492,137,173
2026-06-16,Roller Ski,13.11,3481,428,154,167
2026-06-17,Nordic Ski,8.97,3072,246,140,173
2026-06-18,Nordic Ski,17.65,5420,221,156,181
2026-06-19,Roller Ski,18.8,5456,281,148,170
2026-06-20,Run,22.8,8840,494,144,171
2026-06-21,Run,7.4,2380,350,139,170
2026-06-22,Roller Ski,15.72,5137,159,144,184
2026-06-23,Roller Ski,27.95,9239,326,140,173
2026-06-24,Nordic Ski,9.46,2970,333,150,182
2026-06-25,Run,27.88,8484,184,148,186
2026-06-26,Roller Ski,28.08,8947,271,152,184
2026-06-27,Nordic Ski,7.47,2590,488,154,186
2026-06-28,Run,28.02,8220,463,158,184
2026-06-29,Nordic Ski,15.71,4344,159,152,165
2026-06-30,Nordic Ski,29.45,7851,486,141,177
