Date,Category,Vendor,Amount_USD,Note
2025-10-02,Groceries,Exxon,20.6,Monthly expense logging
2025-10-07,Subscription,Exxon,126.88,Monthly expense logging
2025-10-23,Gas,Aldi,13.58,Monthly expense logging
2025-10-17,Subscription,Swix,26.95,Monthly expense logging
2025-10-27,Subscription,Exxon,116.39,Monthly expense logging
2025-10-22,Groceries,Aldi,141.32,Monthly expense logging
2025-10-05,Coffee,Swix,31.63,Monthly expense logging
2025-10-23,Subscription,Spotify,78.22,Monthly expense logging
2025-10-05,Groceries,Target,6.79,Monthly expense logging
2025-10-27,Gear,Exxon,56.19,Monthly expense logging
2025-10-21,Groceries,Spotify,82.17,Monthly expense logging
2025-10-18,Coffee,Campus Cafe,40.48,Monthly expense logging
2025-10-01,Groceries,Fischer,149.53,Monthly expense logging
2025-10-24,Groceries,Anki,82.4,Monthly expense logging
2025-10-18,Subscription,Swix,27.53,Monthly expense logging
2025-10-15,Gear,Campus Cafe,94.3,Monthly expense logging
2025-10-03,Subscription,Spotify,27.78,Monthly expense logging
2025-10-01,Subscription,Campus Cafe,112.35,Monthly expense logging
2025-10-11,Gear,Aldi,130.81,Monthly expense logging
2025-10-18,Coffee,Swix,35.05,Monthly expense logging
2025-10-17,Subscription,Campus Cafe,127.44,Monthly expense logging
2025-10-02,Subscription,Spotify,99.92,Monthly expense logging
2025-10-06,Gear,Campus Cafe,110.47,Monthly expense logging
2025-10-23,Groceries,Swix,76.66,Monthly expense logging
2025-10-06,Groceries,Aldi,35.05,Monthly expense logging
2025-10-01,Groceries,Target,138.3,Monthly expense logging
2025-10-25,Groceries,Campus Cafe,107.55,Monthly expense logging
2025-10-02,Subscription,Exxon,17.1,Monthly expense logging
2025-10-11,Gas,Target,135.85,Monthly expense logging
2025-10-17,Gear,Campus Cafe,104.3,Monthly expense logging
2025-10-18,Gas,Fischer,79.29,Monthly expense logging
2025-10-08,Subscription,Exxon,44.09,Monthly expense logging
2025-10-08,Groceries,Exxon,114.39,Monthly expense logging
2025-10-12,Gear,Campus Cafe,41.61,Monthly expense logging
2025-10-28,Subscription,Spotify,98.27,Monthly expense logging
2025-10-25,Gear,Aldi,90.58,Monthly expense logging
2025-10-20,Subscription,Anki,139.93,Monthly expense logging
2025-10-28,Gas,Swix,63.75,Monthly expense logging
2025-10-06,Gas,Swix,47.77,Monthly expense logging
2025-10-25,Subscription,Fischer,52.51,Monthly expense logging
2025-10-10,Gear,Aldi,58.88,Monthly expense logging
2025-10-21,Coffee,Swix,109.99,Monthly expense logging
2025-10-10,Coffee,Exxon,11.64,Monthly expense logging
2025-10-10,Gear,Target,25.71,Monthly expense logging
2025-10-10,Gas,Anki,76.16,Monthly expense logging
2025-10-10,Subscription,Anki,37.73,Monthly expense logging
2025-10-15,Gear,Spotify,50.22,Monthly expense logging
2025-10-23,Groceries,Anki,149.66,Monthly expense logging
2025-10-12,Subscription,Swix,90.12,Monthly expense logging
2025-10-20,Gas,Target,51.42,Monthly expense logging
