Date,Category,Vendor,Amount_USD,Note
2025-10-05,Subscription,Anki,98.65,Monthly expense logging
2025-10-27,Coffee,Campus Cafe,91.12,Monthly expense logging
2025-10-20,Gas,Anki,135.45,Monthly expense logging
2025-10-03,Subscription,Swix,34.57,Monthly expense logging
2025-10-25,Gas,Exxon,119.25,Monthly expense logging
2025-10-07,Subscription,Anki,65.66,Monthly expense logging
2025-10-20,Gas,Swix,62.64,Monthly expense logging
2025-10-08,Subscription,Aldi,98.14,Monthly expense logging
2025-10-21,Gas,Exxon,34.77,Monthly expense logging
2025-10-04,Subscription,Spotify,76.32,Monthly expense logging
2025-10-03,Gear,Swix,26.88,Monthly expense logging
2025-10-24,Subscription,Campus Cafe,140.88,Monthly expense logging
2025-10-17,Subscription,Target,92.29,Monthly expense logging
2025-10-08,Groceries,Target,98.28,Monthly expense logging
2025-10-06,Gear,Aldi,107.16,Monthly expense logging
2025-10-25,Groceries,Swix,43.66,Monthly expense logging
2025-10-07,Gear,Fischer,109.76,Monthly expense logging
2025-10-07,Gear,Target,9.43,Monthly expense logging
2025-10-16,Gas,Swix,71.97,Monthly expense logging
2025-10-07,Gas,Target,116.31,Monthly expense logging
2025-10-27,Coffee,Anki,9.06,Monthly expense logging
2025-10-01,Subscription,Swix,73.36,Monthly expense logging
2025-10-27,Subscription,Anki,114.71,Monthly expense logging
2025-10-04,Coffee,Swix,85.47,Monthly expense logging
2025-10-09,Coffee,Fischer,23.36,Monthly expense logging
2025-10-12,Gas,Swix,102.71,Monthly expense logging
2025-10-22,Subscription,Target,82.93,Monthly expense logging
2025-10-12,Groceries,Target,62.94,Monthly expense logging
2025-10-26,Groceries,Spotify,7.4,Monthly expense logging
2025-10-15,Coffee,Fischer,115.48,Monthly expense logging
2025-10-19,Gear,Spotify,55.57,Monthly expense logging
2025-10-03,Subscription,Anki,98.49,Monthly expense logging
2025-10-26,Groceries,Aldi,56.59,Monthly expense logging
2025-10-12,Gear,Fischer,115.79,Monthly expense logging
2025-10-13,Subscription,Swix,51.55,Monthly expense logging
2025-10-03,Subscription,Campus Cafe,4.27,Monthly expense logging
2025-10-02,Groceries,Exxon,61.76,Monthly expense logging
2025-10-11,Gas,Anki,76.82,Monthly expense logging
2025-10-12,Gear,Fischer,65.96,Monthly expense logging
2025-10-14,Gear,Target,106.43,Monthly expense logging
2025-10-18,Coffee,Target,27.17,Monthly expense logging
2025-10-03,Gas,Spotify,123.99,Monthly expense logging
2025-10-11,Groceries,Exxon,129.09,Monthly expense logging
2025-10-17,Groceries,Fischer,48.05,Monthly expense logging
2025-10-14,Coffee,Campus Cafe,90.94,Monthly expense logging
2025-10-11,Gas,Anki,110.19,Monthly expense logging
2025-10-19,Coffee,Swix,100.29,Monthly expense logging
2025-10-15,Groceries,Anki,5.05,Monthly expense logging
2025-10-11,Coffee,Exxon,142.44,Monthly expense logging
2025-10-04,Gear,Fischer,16.4,Monthly expense logging
