Date,Activity_Type,Distance_km,Duration_sec,Elevation_m,Avg_HR,Max_HR
2026-05-01,Nordic Ski,21.71,8395,156,133,173
2026-05-02,Roller Ski,8.97,3088,123,149,168
2026-05-03,Nordic Ski,12.65,4935,266,160,168
2026-05-04,Roller Ski,29.67,8655,400,146,173
2026-05-05,Run,11.51,2938,244,149,165
2026-05-06,Run,27.3,8226,372,131,170
2026-05-07,Nordic Ski,15.67,6036,259,131,179
2026-05-08,Nordic Ski,11.05,3392,51,153,183
2026-05-09,Run,5.9,2349,142,134,178
2026-05-10,Run,5.98,2154,402,156,175
2026-05-11,Nordic Ski,7.71,2331,187,137,176
2026-05-12,Roller Ski,17.23,5468,80,154,173
2026-05-13,Nordic Ski,8.1,2406,486,156,170
2026-05-14,Roller Ski,19.84,7092,383,133,170
2026-05-15,Nordic Ski,7.94,3070,50,138,183
2026-05-16,Run,10.52,3770,258,148,176
2026-05-17,Nordic Ski,20.95,6823,273,134,183
2026-05-18,Nordic Ski,11.43,3402,431,145,171
2026-05-19,Run,16.0,4933,136,131,183
2026-05-20,Run,7.34,2058,161,131,170
2026-05-21,Run,29.24,10273,56,143,176
2026-05-22,Roller Ski,5.95,2142,245,154,169
2026-05-23,Run,16.88,4601,474,156,180
2026-05-24,Nordic Ski,9.2,3478,466,160,171
2026-05-25,Run,11.74,3275,345,151,181
2026-05-26,Run,24.42,6320,439,133,170
2026-05-27,Run,13.15,4621,253,157,190
2026-05-28,Roller Ski,12.18,3480,262,140,190
2026-05-29,Nordic Ski,20.53,6327,198,132,166
2026-05-30,Roller Ski,26.02,8356,172,142,190
