Date,Category,Vendor,Amount_USD,Note
2025-10-12,Subscription,Anki,83.73,Monthly expense logging
2025-10-24,Coffee,Target,20.29,Monthly expense logging
2025-10-02,Coffee,Campus Cafe,16.63,Monthly expense logging
2025-10-24,Groceries,Spotify,38.73,Monthly expense logging
2025-10-21,Groceries,Spotify,68.96,Monthly expense logging
2025-10-04,Groceries,Aldi,11.29,Monthly expense logging
2025-10-06,Gear,Fischer,13.18,Monthly expense logging
2025-10-15,Subscription,Target,90.85,Monthly expense logging
2025-10-07,Groceries,Exxon,78.35,Monthly expense logging
2025-10-12,Coffee,Aldi,99.56,Monthly expense logging
2025-10-05,Gas,Anki,86.3,Monthly expense logging
2025-10-06,Gear,Campus Cafe,68.1,Monthly expense logging
2025-10-19,Subscription,Aldi,148.54,Monthly expense logging
2025-10-26,Gear,Spotify,118.91,Monthly expense logging
2025-10-27,Groceries,Swix,10.43,Monthly expense logging
2025-10-24,Subscription,Aldi,7.01,Monthly expense logging
2025-10-02,Gas,Fischer,92.68,Monthly expense logging
2025-10-08,Gear,Aldi,47.95,Monthly expense logging
2025-10-26,Subscription,Fischer,44.64,Monthly expense logging
2025-10-04,Gas,Spotify,71.35,Monthly expense logging
2025-10-17,Gas,Exxon,134.51,Monthly expense logging
2025-10-19,Coffee,Spotify,48.0,Monthly expense logging
2025-10-07,Subscription,Spotify,88.97,Monthly expense logging
2025-10-17,Gas,Campus Cafe,54.48,Monthly expense logging
2025-10-25,Gear,Campus Cafe,19.72,Monthly expense logging
2025-10-21,Gas,Spotify,81.15,Monthly expense logging
2025-10-11,Coffee,Anki,60.36,Monthly expense logging
2025-10-07,Gear,Fischer,15.12,Monthly expense logging
2025-10-05,Coffee,Campus Cafe,52.74,Monthly expense logging
2025-10-25,Gas,Campus Cafe,13.2,Monthly expense logging
2025-10-10,Groceries,Swix,141.91,Monthly expense logging
2025-10-04,Gas,Spotify,96.35,Monthly expense logging
2025-10-17,Gear,Exxon,69.69,Monthly expense logging
2025-10-19,Coffee,Aldi,84.93,Monthly expense logging
2025-10-07,Gas,Spotify,134.77,Monthly expense logging
2025-10-04,Subscription,Aldi,54.52,Monthly expense logging
2025-10-14,Groceries,Exxon,70.37,Monthly expense logging
2025-10-05,Coffee,Anki,4.57,Monthly expense logging
2025-10-09,Gas,Spotify,135.89,Monthly expense logging
2025-10-21,Gas,Campus Cafe,140.01,Monthly expense logging
2025-10-03,Coffee,Campus Cafe,69.86,Monthly expense logging
2025-10-08,Subscription,Campus Cafe,77.16,Monthly expense logging
2025-10-17,Coffee,Spotify,43.85,Monthly expense logging
2025-10-13,Subscription,Exxon,35.52,Monthly expense logging
2025-10-21,Gas,Spotify,51.96,Monthly expense logging
2025-10-08,Groceries,Anki,132.9,Monthly expense logging
2025-10-03,Gas,Target,125.56,Monthly expense logging
2025-10-01,Subscription,Spotify,126.56,Monthly expense logging
2025-10-13,Coffee,Aldi,119.16,Monthly expense logging
2025-10-09,Gear,Swix,84.64,Monthly expense logging
