Date,Category,Vendor,Amount_USD,Note
2025-10-25,Gear,Swix,62.57,Monthly expense logging
2025-10-11,Subscription,Target,29.52,Monthly expense logging
2025-10-26,Coffee,Swix,101.26,Monthly expense logging
2025-10-03,Gear,Exxon,12.93,Monthly expense logging
2025-10-11,Subscription,Fischer,4.13,Monthly expense logging
2025-10-28,Groceries,Target,77.23,Monthly expense logging
2025-10-16,Coffee,Exxon,116.27,Monthly expense logging
2025-10-22,Gear,Aldi,23.78,Monthly expense logging
2025-10-06,Groceries,Anki,11.22,Monthly expense logging
2025-10-27,Gas,Spotify,115.31,Monthly expense logging
2025-10-28,Coffee,Exxon,70.33,Monthly expense logging
2025-10-18,Subscription,Aldi,97.91,Monthly expense logging
2025-10-14,Gear,Campus Cafe,145.48,Monthly expense logging
2025-10-01,Gas,Aldi,96.86,Monthly expense logging
2025-10-05,Gas,Target,136.66,Monthly expense logging
2025-10-22,Groceries,Fischer,21.19,Monthly expense logging
2025-10-22,Subscription,Swix,65.62,Monthly expense logging
2025-10-13,Coffee,Aldi,115.2,Monthly expense logging
2025-10-19,Coffee,Swix,129.75,Monthly expense logging
2025-10-21,Gas,Fischer,9.7,Monthly expense logging
2025-10-11,Coffee,Exxon,2.83,Monthly expense logging
2025-10-01,Subscription,Campus Cafe,36.77,Monthly expense logging
2025-10-10,Groceries,Anki,130.15,Monthly expense logging
2025-10-06,Gear,Exxon,134.01,Monthly expense logging
2025-10-13,Coffee,Campus Cafe,113.48,Monthly expense logging
2025-10-03,Gas,Campus Cafe,77.17,Monthly expense logging
2025-10-28,Subscription,Fischer,70.65,Monthly expense logging
2025-10-19,Subscription,Campus Cafe,129.01,Monthly expense logging
2025-10-16,Groceries,Exxon,121.77,Monthly expense logging
2025-10-02,Subscription,Exxon,80.68,Monthly expense logging
2025-10-15,Groceries,Spotify,64.24,Monthly expense logging
2025-10-02,Coffee,Campus Cafe,83.58,Monthly expense logging
2025-10-20,Gear,Target,4.97,Monthly expense logging
2025-10-11,Gas,Campus Cafe,48.52,Monthly expense logging
2025-10-14,Gear,Exxon,121.46,Monthly expense logging
2025-10-07,Coffee,Exxon,78.11,Monthly expense logging
2025-10-09,Coffee,Fischer,125.91,Monthly expense logging
2025-10-28,Subscription,Spotify,134.11,Monthly expense logging
2025-10-19,Gas,Exxon,64.13,Monthly expense logging
2025-10-12,Gear,Fischer,61.84,Monthly expense logging
2025-10-14,Coffee,Target,149.13,Monthly expense logging
2025-10-19,Gear,Anki,145.35,Monthly expense logging
2025-10-02,Gas,Swix,11.7,Monthly expense logging
2025-10-26,Groceries,Aldi,35.35,Monthly expense logging
2025-10-08,Gas,Anki,103.77,Monthly expense logging
2025-10-10,Subscription,Exxon,134.08,Monthly expense logging
2025-10-24,Gear,Exxon,53.64,Monthly expense logging
2025-10-03,Gas,Swix,30.48,Monthly expense logging
2025-10-20,Coffee,Fischer,118.12,Monthly expense logging
2025-10-26,Gear,Fischer,133.25,Monthly expense logging
