Date,Category,Vendor,Amount_USD,Note
2025-10-16,Gas,Swix,115.51,Monthly expense logging
2025-10-24,Subscription,Campus Cafe,92.65,Monthly expense logging
2025-10-06,Gas,Anki,95.77,Monthly expense logging
2025-10-22,Gear,Anki,49.58,Monthly expense logging
2025-10-12,Subscription,Swix,38.31,Monthly expense logging
2025-10-15,Coffee,Anki,138.9,Monthly expense logging
2025-10-24,Coffee,Swix,22.08,Monthly expense logging
2025-10-20,Coffee,Target,81.01,Monthly expense logging
2025-10-12,Gas,Exxon,148.37,Monthly expense logging
2025-10-05,Gear,Swix,4.43,Monthly expense logging
2025-10-06,Subscription,Swix,95.55,Monthly expense logging
2025-10-04,Groceries,Fischer,76.31,Monthly expense logging
2025-10-23,Gas,Spotify,124.88,Monthly expense logging
2025-10-24,Groceries,Target,81.74,Monthly expense logging
2025-10-03,Subscription,Aldi,50.49,Monthly expense logging
2025-10-19,Gas,Exxon,64.67,Monthly expense logging
2025-10-11,Gear,Swix,108.95,Monthly expense logging
2025-10-10,Subscription,Target,67.84,Monthly expense logging
2025-10-07,Gear,Swix,62.57,Monthly expense logging
2025-10-15,Coffee,Spotify,115.41,Monthly expense logging
2025-10-18,Gear,Target,55.2,Monthly expense logging
2025-10-15,Gear,Anki,134.13,Monthly expense logging
2025-10-01,Coffee,Target,48.32,Monthly expense logging
2025-10-08,Gear,Target,139.57,Monthly expense logging
2025-10-08,Subscription,Anki,23.99,Monthly expense logging
2025-10-16,Coffee,Campus Cafe,47.3,Monthly expense logging
2025-10-11,Groceries,Campus Cafe,137.27,Monthly expense logging
2025-10-03,Groceries,Swix,65.72,Monthly expense logging
2025-10-25,Groceries,Spotify,31.96,Monthly expense logging
2025-10-25,Subscription,Target,123.08,Monthly expense logging
2025-10-04,Coffee,Exxon,54.23,Monthly expense logging
2025-10-27,Gear,Target,80.89,Monthly expense logging
2025-10-19,Gas,Aldi,54.32,Monthly expense logging
2025-10-20,Subscription,Exxon,143.1,Monthly expense logging
2025-10-02,Groceries,Target,43.08,Monthly expense logging
2025-10-17,Groceries,Campus Cafe,22.38,Monthly expense logging
2025-10-02,Coffee,Anki,38.15,Monthly expense logging
2025-10-01,Groceries,Campus Cafe,119.71,Monthly expense logging
2025-10-02,Coffee,Aldi,145.43,Monthly expense logging
2025-10-18,Gas,Aldi,97.15,Monthly expense logging
2025-10-06,Gas,Aldi,121.4,Monthly expense logging
2025-10-09,Coffee,Exxon,102.98,Monthly expense logging
2025-10-03,Gas,Swix,82.25,Monthly expense logging
2025-10-09,Coffee,Exxon,114.41,Monthly expense logging
2025-10-28,Subscription,Target,29.82,Monthly expense logging
2025-10-08,Coffee,Aldi,70.83,Monthly expense logging
2025-10-03,Gas,Campus Cafe,99.07,Monthly expense logging
2025-10-18,Gear,Anki,66.09,Monthly expense logging
2025-10-07,Coffee,Target,43.48,Monthly expense logging
2025-10-16,Subscription,Campus Cafe,149.75,Monthly expense logging
