Date,Category,Vendor,Amount_USD,Note
13-10-2025,Gear,Spotify,60.03,Monthly expense logging
21-10-2025,Gear,Campus Cafe,44.32,Monthly expense logging
12-10-2025,Gas,Exxon,59.68,Monthly expense logging
08-10-2025,Subscription,Spotify,113.01,Monthly expense logging
17-10-2025,Subscription,Exxon,112.91,Monthly expense logging
17-10-2025,Gas,Swix,127.65,Monthly expense logging
19-10-2025,Gas,Campus Cafe,41.5,Monthly expense logging
07-10-2025,Gear,Exxon,144.63,Monthly expense logging
15-10-2025,Subscription,Aldi,10.39,Monthly expense logging
19-10-2025,Gear,Swix,52.05,Monthly expense logging
03-10-2025,Coffee,Anki,6.96,Monthly expense logging
18-10-2025,Coffee,Swix,64.4,Monthly expense logging
12-10-2025,Coffee,Fischer,116.04,Monthly expense logging
08-10-2025,Coffee,Fischer,61.44,Monthly expense logging
20-10-2025,Coffee,Campus Cafe,141.64,Monthly expense logging
12-10-2025,Gear,Target,14.35,Monthly expense logging
23-10-2025,Coffee,Target,144.05,Monthly expense logging
08-10-2025,Gear,Target,102.43,Monthly expense logging
03-10-2025,Subscription,Swix,67.81,Monthly expense logging
03-10-2025,Subscription,Target,82.03,Monthly expense logging
13-10-2025,Groceries,Spotify,101.73,Monthly expense logging
06-10-2025,Coffee,Target,105.73,Monthly expense logging
26-10-2025,Gas,Swix,97.46,Monthly expense logging
01-10-2025,Subscription,Exxon,24.38,Monthly expense logging
21-10-2025,Coffee,Exxon,21.99,Monthly expense logging
08-10-2025,Coffee,Anki,47.9,Monthly expense logging
16-10-2025,Coffee,Spotify,9.4,Monthly expense logging
03-10-2025,Coffee,Spotify,83.98,Monthly expense logging
27-10-2025,Gear,Aldi,139.03,Monthly expense logging
28-10-2025,Subscription,Aldi,90.32,Monthly expense logging
19-10-2025,Groceries,Spotify,131.18,Monthly expense logging
13-10-2025,Gear,Anki,125.39,Monthly expense logging
28-10-2025,Coffee,Campus Cafe,143.32,Monthly expense logging
20-10-2025,Groceries,Campus Cafe,95.9,Monthly expense logging
23-10-2025,Gas,Target,143.44,Monthly expense logging
17-10-2025,Subscription,Exxon,23.81,Monthly expense logging
15-10-2025,Subscription,Aldi,42.57,Monthly expense logging
23-10-2025,Gas,Aldi,91.84,Monthly expense logging
26-10-2025,Coffee,Aldi,13.76,Monthly expense logging
11-10-2025,Groceries,Spotify,132.22,Monthly expense logging
12-10-2025,Subscription,Campus Cafe,119.82,Monthly expense logging
25-10-2025,Gas,Aldi,54.57,Monthly expense logging
11-10-2025,Subscription,Target,12.51,Monthly expense logging
04-10-2025,Gear,Fischer,104.69,Monthly expense logging
16-10-2025,Gas,Aldi,136.01,Monthly expense logging
27-10-2025,Coffee,Spotify,141.22,Monthly expense logging
04-10-2025,Gear,Anki,105.15,Monthly expense logging
17-10-2025,Subscription,Exxon,6.55,Monthly expense logging
25-10-2025,Groceries,Aldi,73.87,Monthly expense logging
25-10-2025,Coffee,Spotify,37,Monthly expense logging
