Date,Activity_Type,Distance_km,Duration_sec,Elevation_m,Avg_HR,Max_HR
2026-09-01,Run,14.44,5584,368,143,184
2026-09-02,Roller Ski,17.01,5474,273,151,165
2026-09-03,Roller Ski,18.93,7482,472,135,183
2026-09-04,Nordic Ski,25.7,7042,133,143,185
2026-09-05,Run,5.54,1860,254,135,182
2026-09-06,Nordic Ski,28.99,9465,92,158,180
2026-09-07,Run,25.74,7149,162,148,167
2026-09-08,Roller Ski,22.53,7876,307,150,177
2026-09-09,Run,19.25,6374,455,131,170
2026-09-10,Run,20.95,7202,357,148,173
2026-09-11,Roller Ski,12.91,3435,216,152,185
2026-09-12,Run,7.86,3006,401,152,172
2026-09-13,Nordic Ski,11.17,3106,316,143,186
2026-09-14,Roller Ski,26.94,9578,292,150,170
2026-09-15,Run,23.59,6882,401,138,180
2026-09-16,Roller Ski,17.3,5366,296,155,170
2026-09-17,Roller Ski,9.38,2458,99,140,168
2026-09-18,Roller Ski,12.82,3506,302,140,165
2026-09-19,Roller Ski,18.78,5799,190,152,172
2026-09-20,Run,27.46,8374,289,132,187
2026-09-21,Run,29.72,10844,314,135,187
2026-09-22,Roller Ski,18.33,7008,485,147,177
2026-09-23,Nordic Ski,25.12,6496,339,158,182
2026-09-24,Nordic Ski,19.27,6358,456,160,172
2026-09-25,Nordic Ski,5.0,1957,475,156,165
2026-09-26,Roller Ski,6.48,2488,248,145,177
2026-09-27,Roller Ski,6.83,2052,151,146,175
2026-09-28,Run,15.34,4000,258,146,176
2026-09-29,Roller Ski,16.06,4552,398,146,175
2026-09-30,Nordic Ski,13.82,5158,429,131,181
