Date,Category,Vendor,Amount_USD,Note
2025-10-14,Gas,Target,79.75,Monthly expense logging
2025-10-12,Groceries,Swix,48.81,Monthly expense logging
2025-10-17,Subscription,Fischer,97.59,Monthly expense logging
2025-10-17,Gas,Swix,4.95,Monthly expense logging
2025-10-19,Gear,Aldi,30.37,Monthly expense logging
2025-10-11,Subscription,Anki,44.64,Monthly expense logging
2025-10-15,Gas,Anki,144.1,Monthly expense logging
2025-10-08,Subscription,Exxon,3.35,Monthly expense logging
2025-10-15,Subscription,Spotify,121.09,Monthly expense logging
2025-10-04,Subscription,Fischer,27.93,Monthly expense logging
2025-10-19,Coffee,Swix,121.68,Monthly expense logging
2025-10-19,Subscription,Target,110.56,Monthly expense logging
2025-10-14,Gear,Fischer,91.84,Monthly expense logging
2025-10-20,Groceries,Target,21.77,Monthly expense logging
2025-10-15,Gas,Spotify,36.23,Monthly expense logging
2025-10-03,Gear,Target,54.02,Monthly expense logging
2025-10-18,Gear,Swix,33.76,Monthly expense logging
2025-10-08,Coffee,Exxon,45.22,Monthly expense logging
2025-10-05,Groceries,Target,62.8,Monthly expense logging
2025-10-08,Groceries,Aldi,54.69,Monthly expense logging
2025-10-20,Gas,Target,36.81,Monthly expense logging
2025-10-20,Groceries,Campus Cafe,38.37,Monthly expense logging
2025-10-18,Gear,Swix,23.82,Monthly expense logging
2025-10-09,Groceries,Aldi,22.11,Monthly expense logging
2025-10-09,Groceries,Fischer,73.18,Monthly expense logging
2025-10-26,Groceries,Spotify,66.05,Monthly expense logging
2025-10-27,Coffee,Anki,34.89,Monthly expense logging
2025-10-05,Gear,Campus Cafe,137.21,Monthly expense logging
2025-10-14,Subscription,Spotify,146.74,Monthly expense logging
2025-10-28,Gas,Fischer,100.59,Monthly expense logging
2025-10-16,Groceries,Target,112.87,Monthly expense logging
2025-10-20,Gear,Exxon,15.94,Monthly expense logging
2025-10-07,Gas,Target,52.07,Monthly expense logging
2025-10-01,Groceries,Spotify,62.72,Monthly expense logging
2025-10-14,Coffee,Anki,52.36,Monthly expense logging
2025-10-12,Groceries,Anki,50.98,Monthly expense logging
2025-10-28,Coffee,Anki,123.43,Monthly expense logging
2025-10-14,Gear,Swix,12.19,Monthly expense logging
2025-10-12,Subscription,Target,40.08,Monthly expense logging
2025-10-02,Subscription,Fischer,113.02,Monthly expense logging
2025-10-05,Coffee,Exxon,127.38,Monthly expense logging
2025-10-14,Subscription,Spotify,120.78,Monthly expense logging
2025-10-16,Coffee,Swix,128.8,Monthly expense logging
2025-10-18,Groceries,Campus Cafe,3.39,Monthly expense logging
2025-10-24,Gas,Target,118.78,Monthly expense logging
2025-10-15,Subscription,Target,145.95,Monthly expense logging
2025-10-27,Coffee,Aldi,94.87,Monthly expense logging
2025-10-14,Subscription,Aldi,7.01,Monthly expense logging
2025-10-10,Subscription,Fischer,50.42,Monthly expense logging
2025-10-20,Coffee,Target,26.77,Monthly expense logging
