Date,Category,Vendor,Amount_USD,Note
2025-10-17,Coffee,Campus Cafe,86.72,Monthly expense logging
2025-10-28,Groceries,Anki,65.65,Monthly expense logging
2025-10-20,Subscription,Campus Cafe,52.92,Monthly expense logging
2025-10-18,Subscription,Swix,47.03,Monthly expense logging
2025-10-26,Subscription,Target,10.5,Monthly expense logging
2025-10-16,Gas,Aldi,81.08,Monthly expense logging
2025-10-11,Coffee,Anki,125.99,Monthly expense logging
2025-10-19,Gear,Target,134.28,Monthly expense logging
2025-10-05,Coffee,Campus Cafe,94.74,Monthly expense logging
2025-10-05,Coffee,Campus Cafe,105.57,Monthly expense logging
2025-10-08,Gear,Aldi,146.81,Monthly expense logging
2025-10-13,Coffee,Exxon,138.46,Monthly expense logging
2025-10-03,Gear,Aldi,135.57,Monthly expense logging
2025-10-02,Groceries,Campus Cafe,98.26,Monthly expense logging
2025-10-10,Groceries,Anki,141.83,Monthly expense logging
2025-10-16,Subscription,Spotify,30.62,Monthly expense logging
2025-10-02,Subscription,Anki,20.29,Monthly expense logging
2025-10-20,Gas,Fischer,59.16,Monthly expense logging
2025-10-25,Subscription,Anki,74.35,Monthly expense logging
2025-10-21,Coffee,Spotify,119.95,Monthly expense logging
2025-10-24,Subscription,Campus Cafe,58.68,Monthly expense logging
2025-10-25,Gas,Target,129.92,Monthly expense logging
2025-10-12,Gear,Anki,49.43,Monthly expense logging
2025-10-17,Gear,Swix,73.12,Monthly expense logging
2025-10-25,Groceries,Aldi,67.88,Monthly expense logging
2025-10-05,Groceries,Fischer,140.28,Monthly expense logging
2025-10-19,Coffee,Campus Cafe,34.99,Monthly expense logging
2025-10-12,Gas,Target,120.08,Monthly expense logging
2025-10-15,Groceries,Fischer,7.68,Monthly expense logging
2025-10-19,Subscription,Target,94.5,Monthly expense logging
2025-10-13,Gear,Exxon,116.9,Monthly expense logging
2025-10-10,Subscription,Campus Cafe,87.6,Monthly expense logging
2025-10-11,Gear,Target,106.39,Monthly expense logging
2025-10-14,Subscription,Exxon,55.15,Monthly expense logging
2025-10-04,Coffee,Spotify,24.09,Monthly expense logging
2025-10-26,Gas,Swix,33.57,Monthly expense logging
2025-10-23,Subscription,Anki,7.28,Monthly expense logging
2025-10-21,Groceries,Exxon,91.71,Monthly expense logging
2025-10-23,Subscription,Aldi,73.58,Monthly expense logging
2025-10-05,Gas,Exxon,42.36,Monthly expense logging
2025-10-07,Groceries,Aldi,109.39,Monthly expense logging
2025-10-05,Gas,Anki,121.57,Monthly expense logging
2025-10-25,Gear,Swix,33.65,Monthly expense logging
2025-10-27,Gear,Fischer,15.13,Monthly expense logging
2025-10-04,Coffee,Spotify,44.97,Monthly expense logging
2025-10-08,Subscription,Target,32.96,Monthly expense logging
2025-10-09,Gear,Exxon,93.26,Monthly expense logging
2025-10-01,Subscription,Spotify,39.52,Monthly expense logging
2025-10-02,Gas,Fischer,40.37,Monthly expense logging
2025-10-08,Groceries,Target,27.74,Monthly expense logging
