Date,Activity_Type,Distance_km,Duration_sec,Elevation_m,Avg_HR,Max_HR
2026-03-01,Run,25.21,9021,399,153,188
2026-03-02,Roller Ski,10.12,3528,428,131,168
2026-03-03,Run,19.95,5044,302,154,166
2026-03-04,Run,11.45,2885,484,149,165
2026-03-05,Roller Ski,6.16,1597,451,150,185
2026-03-06,Roller Ski,13.57,3656,345,157,188
2026-03-07,Nordic Ski,29.85,11165,128,145,190
2026-03-08,Nordic Ski,13.32,4668,444,143,165
2026-03-09,Nordic Ski,28.64,9388,490,152,184
2026-03-10,Roller Ski,27.39,9193,194,131,184
2026-03-11,Roller Ski,16.2,6171,283,137,174
2026-03-12,Run,19.37,5690,93,135,174
2026-03-13,Run,27.6,7313,249,154,186
2026-03-14,Roller Ski,9.04,3533,388,159,173
2026-03-15,Roller Ski,16.61,5140,469,143,165
2026-03-16,Roller Ski,26.61,7501,238,143,184
2026-03-17,Run,6.32,2265,242,150,168
2026-03-18,Run,6.52,2252,289,137,165
2026-03-19,Roller Ski,28.97,10644,94,142,181
2026-03-20,Nordic Ski,26.62,7818,92,143,165
2026-03-21,Roller Ski,27.02,6964,448,131,173
2026-03-22,Run,19.3,6072,63,139,169
2026-03-23,Nordic Ski,28.04,7592,79,131,176
2026-03-24,Nordic Ski,11.51,3460,220,152,186
2026-03-25,Nordic Ski,10.83,2984,220,144,172
2026-03-26,Nordic Ski,27.39,8831,283,145,189
2026-03-27,Nordic Ski,24.25,9454,298,149,176
2026-03-28,Run,6.38,2197,328,131,174
2026-03-29,Nordic Ski,6.7,1991,108,155,190
2026-03-30,Nordic Ski,8.88,3480,125,141,190
